text,score
Google secures major deal worth billions,0.8
Investors maintain hold rating on Ford stock,0.02
healthcare sector declines as Netflix reports losses,-0.96
Mastercard maintains current workforce amid industry changes,-0.17
General Motors stock trades within narrow range for third month,0.08
"Wells Fargo misses revenue targets, shares down 12%",-0.96
General Motors successfully enters new market with strong initial sales,0.93
Toyota restructuring fails to address fundamental issues,-0.4
Federal Reserve announces interest rate hike of 0.25%,0.33
Goldman Sachs faces regulatory investigation over business practices,-0.91
Investors maintain hold rating on Bank of America stock,0.03
real estate stocks surge led by Microsoft's positive outlook,0.8
Netflix secures major deal worth billions,0.83
Apple stock hits all-time high on strong growth prospects,0.9
CVS Health restructuring fails to address fundamental issues,-0.45
Target wins regulatory approval for key product,0.87
Citigroup stock plummets 13% after disappointing earnings,-0.95
Coca-Cola recalls product due to safety concerns,-0.96
ExxonMobil and Tesla continue existing partnership agreements,0.56
Bank of America stock surges 25% after strong earnings report,0.91
Citigroup faces regulatory investigation over business practices,-0.92
ExxonMobil stock trades within narrow range for third month,0.11
Cisco maintains current workforce amid industry changes,-0.14
Oracle exceeds analyst expectations with 22% revenue growth,0.93
Honda stock surges 5% after strong earnings report,0.9
Lockheed Martin exceeds analyst expectations with 15% revenue growth,0.92
Market pessimism grows as Wells Fargo reports unexpected losses,-0.83
Honda misses quarterly estimates by $479 million,-0.5
"Netflix misses revenue targets, shares down 24%",-0.96
"Mastercard announces expansion plans, shares up 13%",0.65
Walmart reports earnings in line with expectations,0.93
Analysts maintain neutral stance on Meta,-0.07
Target announces large share buyback program,0.38
automotive outlook uncertain according to Coca-Cola CEO,-0.7
retail stocks surge led by UnitedHealth's positive outlook,0.9
"Apple reduces debt significantly, improves balance sheet",0.93
Goldman Sachs stock surges 21% after strong earnings report,0.89
Disney faces regulatory investigation over business practices,-0.92
Boeing misses quarterly estimates by $476 million,-0.45
"Coca-Cola raises dividend by 18%, signaling confidence",0.87
"McDonald's raises dividend by 13%, signaling confidence",0.84
Market pessimism grows as Home Depot reports unexpected losses,-0.9
"Walmart misses revenue targets, shares down 21%",-0.96
"AMD announces expansion plans, shares up 20%",0.69
Investors maintain hold rating on Ford stock,0.02
Apple terminates strategic partnership with Mastercard,0.71
"JPMorgan reduces debt significantly, improves balance sheet",0.93
Google keeps dividend unchanged at quarterly meeting,-0.09
Morgan Stanley stock plummets 9% after disappointing earnings,-0.95
General Motors halts share buyback program to preserve cash,-0.87
Boeing and Microsoft continue existing partnership agreements,0.76
Morgan Stanley refinances existing debt with similar terms,0.09
Investors maintain hold rating on Mastercard stock,0.03
Pfizer exceeds analyst expectations with 4% revenue growth,0.92
Citigroup recalls product due to safety concerns,-0.95
Bank of America terminates strategic partnership with UnitedHealth,0.87
PepsiCo keeps dividend unchanged at quarterly meeting,-0.08
Ford wins regulatory approval for key product,0.84
Visa exceeds analyst expectations with 6% revenue growth,0.93
Toyota and Tesla continue existing partnership agreements,0.54
Market pessimism grows as Oracle reports unexpected losses,-0.9
energy stocks surge led by Boeing's positive outlook,0.87
Target still in talks with regulators over product approval,-0.17
ExxonMobil keeps dividend unchanged at quarterly meeting,-0.03
Meta refinances existing debt with similar terms,0.09
Netflix exceeds analyst expectations with 6% revenue growth,0.93
"UnitedHealth increases debt significantly, weakening balance sheet",-0.96
Market sentiment mixed regarding Johnson & Johnson's future prospects,-0.46
"Wells Fargo announces expansion plans, shares up 12%",0.52
"Tesla announces expansion plans, shares up 21%",0.57
energy sector rallies as Walmart leads gains,0.29
Lowe's maintains market share despite competitive pressure,0.89
Netflix implementing modest restructuring with minimal impact,0.82
Wells Fargo refinances existing debt with similar terms,0.12
Toyota reports earnings in line with expectations,0.93
Wells Fargo refinances existing debt with similar terms,0.12
Pfizer keeps dividend unchanged at quarterly meeting,-0.11
Target awaits regulatory decision on proposed merger,0.01
Starbucks successfully enters new market with strong initial sales,0.94
consumer goods sector declines as Google reports losses,-0.96
Mastercard exceeds analyst expectations with 19% revenue growth,0.93
"Tesla cuts dividend by 10%, raising concerns",-0.92
Nvidia and Starbucks continue existing partnership agreements,0.7
Goldman Sachs stock hits all-time high on strong growth prospects,0.91
Nvidia awaits regulatory decision on proposed merger,0.0
"Mastercard announces expansion plans, shares up 7%",0.6
JPMorgan stock surges 20% after strong earnings report,0.89
Oracle awaits regulatory decision on proposed merger,0.0
Toyota refinances existing debt with similar terms,0.11
Analysts maintain neutral stance on Walmart,-0.18
industrial stocks surge led by Pfizer's positive outlook,0.88
materials sector rallies as AMD leads gains,0.73
Toyota stock hits all-time high on strong growth prospects,0.92
automotive stocks surge led by Toyota's positive outlook,0.89
Google misses quarterly estimates by $419 million,-0.89
Intel struggles to enter new market with weak initial sales,-0.96
Market pessimism grows as Nvidia reports unexpected losses,-0.92
Investors maintain hold rating on Morgan Stanley stock,0.01
Meta recalls product due to safety concerns,-0.92
Bank of America reports earnings in line with expectations,0.92
Investors bearish on Toyota as competition intensifies,-0.89
Netflix restructuring fails to address fundamental issues,-0.26
Tesla reports earnings in line with expectations,0.94
Market pessimism grows as Ford reports unexpected losses,-0.89
McDonald's restructuring fails to address fundamental issues,-0.6
retail stocks surge led by Mastercard's positive outlook,0.89
Market optimism grows as UnitedHealth reports record profits,0.78
Ford stock trades within narrow range for third month,0.2
Target announces large share buyback program,0.38
Intel announces layoffs affecting 467 employees,-0.96
Disney stock surges 15% after strong earnings report,0.91
Cisco awaits regulatory decision on proposed merger,-0.0
ExxonMobil restructuring fails to address fundamental issues,-0.45
Market optimism grows as Starbucks reports record profits,0.77
Boeing refinances existing debt with similar terms,0.1
Lowe's refinances existing debt with similar terms,0.07
retail sector rallies as Microsoft leads gains,0.5
consumer goods outlook uncertain according to Salesforce CEO,-0.76
Analysts upgrade Cisco citing improved market conditions,0.79
"PepsiCo misses revenue targets, shares down 7%",-0.96
energy stocks surge led by Disney's positive outlook,0.89
IBM exceeds analyst expectations with 6% revenue growth,0.93
PepsiCo wins regulatory approval for key product,0.91
"Home Depot misses revenue targets, shares down 23%",-0.96
consumer goods sector rallies as Walmart leads gains,0.43
Boeing refinances existing debt with similar terms,0.1
Amazon reports expected seasonal variation in sales figures,-0.92
"Walmart raises dividend by 5%, signaling confidence",0.8
Cisco awaits regulatory decision on proposed merger,-0.0
ExxonMobil debt levels remain consistent with previous quarter,0.85
Investors maintain hold rating on CVS Health stock,0.01
"AMD reduces debt significantly, improves balance sheet",0.93
CVS Health refinances existing debt with similar terms,0.1
"Goldman Sachs reduces debt significantly, improves balance sheet",0.93
"Walgreens announces expansion plans, shares up 6%",0.6
"Walmart raises dividend by 13%, signaling confidence",0.8
Microsoft reports earnings in line with expectations,0.92
"Citigroup raises dividend by 23%, signaling confidence",0.84
real estate outlook uncertain according to UnitedHealth CEO,-0.62
Investors bearish on Bank of America as competition intensifies,-0.92
Intel forms strategic partnership with Amazon,0.54
"Stocks making the biggest moves premarket: Apple, Nvidia, Goldman Sachs and more",0.03
Wells Fargo restructuring fails to address fundamental issues,-0.45
Analysts upgrade Honda citing improved market conditions,0.79
tech stocks surge led by Johnson & Johnson's positive outlook,0.9
Investors bearish on Amazon as competition intensifies,-0.9
Investors maintain hold rating on McDonald's stock,0.01
Disney stock hits all-time high on strong growth prospects,0.92
Netflix stock hits 52-week low amid market concerns,-0.95
Visa refinances existing debt with similar terms,0.11
Goldman Sachs keeps dividend unchanged at quarterly meeting,-0.08
UnitedHealth misses quarterly estimates by $133 million,-0.95
Starbucks quarterly results mixed with some positives and negatives,-0.94
Analysts downgrade Home Depot citing deteriorating conditions,-0.96
"Starbucks increases debt significantly, weakening balance sheet",-0.96
Tesla stock surges 13% after strong earnings report,0.91
Coca-Cola announces large share buyback program,0.49
Morgan Stanley awaits regulatory decision on proposed merger,0.0
industrial sector rallies as Toyota leads gains,0.36
Economic indicators point to contraction in automotive sector,-0.96
real estate sector rallies as Honda leads gains,0.5
Walgreens terminates strategic partnership with Bank of America,0.87
ExxonMobil struggles to enter new market with weak initial sales,-0.96
Lockheed Martin wins regulatory approval for key product,0.89
Pfizer stock trades within narrow range for third month,0.24
